Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
5-21300001,6/19/2018,5,June,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.108,21.7,7.78,5.472,1.048,0.494,0.011,-0.002,0.0039,23.722,13.248,4.28E+06,0.00E+00,0.00E+00,0.00E+00
5-21040001,6/19/2018,5,June,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.39,8.8,8.2,4.93,0.985,0.582,0.015,0.062,0.0214,10.128,24.584,7.22E+06,5.86E+03,0.00E+00,0.00E+00
5-21890001,6/19/2018,5,June,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.92,12.9,8.8,6.541,0.996,0.384,-0.02,0.025,0.0031,2.64,40.468,7.30E+06,3.23E+03,0.00E+00,0.00E+00
5-21910001,6/19/2018,5,June,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.305,12.8,8.5,6.869,1.071,0.376,0.004,0.021,0.0094,10.269,10.308,1.61E+06,7.49E+02,0.00E+00,0.00E+00
5-21150001,6/19/2018,5,June,41.42801,-94.78194,Lake_Anita_Beach,ANITA,0.84,9.64,8.2,4.653,0.957,0.489,0,0.028,0.007,10.437,8.572,1.77E+06,5.24E+03,0.00E+00,0.00E+00
5-21920001,6/19/2018,5,June,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,1.24,9.89,9,6.517,0.989,0.528,-0.01,0.665,0.0609,19.821,10.767,1.76E+06,2.41E+04,0.00E+00,0.00E+00
5-21620001,6/19/2018,5,June,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.582,11,9.1,5.988,0.988,0.441,-0.011,0.024,0.0046,19.214,20.542,5.89E+06,2.12E+04,0.00E+00,0.00E+00
5-21520001,6/19/2018,5,June,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,1.297,11.9,9,4.754,1.007,0.367,-0.008,0.051,0.0042,32.391,12.111,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5-21780001,6/19/2018,5,June,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.475,14.1,7.7,3.387,1.01,0.531,-0.015,0.076,0.0115,28.133,20.138,5.83E+06,1.73E+04,0.00E+00,0.00E+00
5-21870001,6/19/2018,5,June,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,16.987,9.5,9,9.001,1.056,0.583,-0.003,0.058,0.0065,7.706,11.879,7.57E+05,1.68E+04,0.00E+00,0.00E+00
5-21260001,6/19/2018,5,June,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.42,9.94,9,23.19,1.011,0.548,0.016,0.038,0.0012,3.275,8.645,6.49E+06,1.42E+03,0.00E+00,0.00E+00
5-21670001,6/19/2018,5,June,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.36,14.8,8,6.19,0.949,0.458,-0.006,0.1,0.0081,9.896,66.583,3.49E+06,4.56E+02,0.00E+00,0.00E+00
5-21420001,6/19/2018,5,June,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.897,17.4,8.3,2.927,0.988,0.434,0.033,2.447,0.1463,15.485,11.957,2.74E+06,3.58E+03,0.00E+00,0.00E+00
5-21170002,6/19/2018,5,June,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,7.36,14.5,8,6.629,1.003,0.433,0.031,0.01,0.0074,13.272,8.599,3.33E+06,1.75E+05,0.00E+00,0.00E+00
5-21270001,6/19/2018,5,June,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.287,13.1,8.3,5.458,1.007,0.364,-0.003,-0.008,0.0045,1.221,3.8,3.15E+06,2.32E+03,0.00E+00,0.00E+00
5-21130002,6/19/2018,5,June,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.84,13.5,7.81,5.3,0.992,0.672,0.237,0.321,0.0252,26.296,59.688,2.18E+06,1.49E+04,0.00E+00,0.00E+00
5-21130001,6/19/2018,5,June,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.6,13.8,7.08,5.185,0.953,0.661,0.257,0.338,0.0245,26.071,51.598,2.57E+06,1.32E+04,0.00E+00,0.00E+00
5-21300002,6/19/2018,5,June,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.315,12.8,7.98,4.796,0.992,0.467,0.018,0.011,0.0051,24.372,14.795,5.59E+06,8.43E+02,0.00E+00,0.00E+00
5-21830001,6/19/2018,5,June,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.493,10.7,8.5,4.008,0.977,0.586,-0.017,0.072,0.0091,13.029,12.154,8.80E+04,0.00E+00,0.00E+00,0.00E+00
5-21590001,6/19/2018,5,June,41.00091,-93.272,Red_Haw_Beach,CHARITON,1.222,9.9,8,6.925,1.008,0.28,-0.01,0.014,0.0054,5.675,6.62,3.01E+06,7.99E+02,0.00E+00,0.00E+00
5-21500001,6/19/2018,5,June,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.423,12.3,8.3,3.312,1.15,0.485,0.051,1.913,0.1096,14.647,12.857,6.27E+06,5.80E+03,0.00E+00,0.00E+00
5-21390001,6/19/2018,5,June,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.26,15.3,8.1,2.595,0.945,0.475,0.035,2.787,0.0941,8.227,11.362,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5-21300003,6/19/2018,5,June,42.128721,-92.72652,Triboji_Beach,MILFORD,0.98,13.8,7.94,5.034,0.964,0.328,-0.016,-0.003,0.004,24.705,14.273,6.75E+06,1.88E+03,0.00E+00,0.00E+00
5-21860001,6/19/2018,5,June,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,0.913,12.6,8.8,3.304,0.994,0.468,0.448,1.429,0.1015,13.745,7.155,5.13E+06,1.05E+05,0.00E+00,0.00E+00
5-21690001,6/19/2018,5,June,40.976,-95.02935,Viking_Lake_Beach,STANTON,1.535,9.42,8.4,5.836,0.978,0.473,-0.026,0.312,0.0005,8.264,4.967,2.93E+06,1.59E+04,0.00E+00,1.30E+04
6-21280001,6/26/2018,6,June,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.13,13.7,7.7,1.55,1.246,0.348,0.057,15.376,0.1296,8.366,20.094,4.96E+06,3.17E+04,0.00E+00,5.13E+04
6-21350001,6/26/2018,6,June,42.77043,-93.23654,Beeds_Lake,HAMPTON,0,14.7,8.7,2.254,1.181,0.335,0.0691,9.978,0.0535,14.507,14.699,8.08E+06,9.36E+03,0.00E+00,0.00E+00
6-21770001,6/26/2018,6,June,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.003,13.1,8.4,3.184,1.156,0.347,0.0802,5.196,0.0738,15.546,11.196,4.37E+06,4.95E+02,0.00E+00,0.00E+00
6-21810002,6/26/2018,6,June,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.907,13.5,8.35,5.166,1.177,0.316,0.0298,0.407,0.035,23.328,12.099,3.89E+06,4.64E+04,0.00E+00,0.00E+00
6-21940001,6/26/2018,6,June,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.183,14,7.27,3.548,1.336,0.392,0.0502,7.787,0.0403,2.792,13.207,4.22E+06,1.57E+03,0.00E+00,0.00E+00
6-21170001,6/26/2018,6,June,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,1.442,11,9.1,2.523,1.189,0.267,0.0485,0.09,0.0091,14.843,10.006,1.93E+06,4.10E+03,0.00E+00,0.00E+00
6-21300005,6/26/2018,6,June,43.496339,-95.120872,Crandalls_Beach,MILFORD,0.803,13.4,8.55,4.328,1.188,0.283,0.0837,0.155,0.0185,18.263,17.34,2.79E+06,2.25E+04,0.00E+00,0.00E+00
6-21810001,6/26/2018,6,June,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.685,15.2,8.3,6.617,1.182,0.363,0.0678,2.018,0.1062,21.088,16.19,2.24E+06,8.99E+03,0.00E+00,0.00E+00
6-21300004,6/26/2018,6,June,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.407,15.8,7.94,4.612,1.203,0.274,0.1299,0.004,0.005,22.899,13.301,6.17E+06,4.03E+03,0.00E+00,0.00E+00
6-21070001,6/26/2018,6,June,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.835,18.7,7.9,4.22,1.549,0.367,0.1571,0.117,0.0102,52.771,14.86,6.20E+06,2.78E+04,0.00E+00,0.00E+00
6-21880001,6/26/2018,6,June,41.09832,-94.38405,Green_Valley_Beach,CRESTON,4.98,11.4,8.4,7.06,1.21,0.489,0.0304,0.117,0.0202,9.246,9.74,3.02E+06,1.13E+05,0.00E+00,0.00E+00
6-21300001,6/26/2018,6,June,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.298,12.4,8.24,4.358,1.101,0.288,0.0515,0.013,0.0061,24.081,13.054,5.94E+06,1.28E+04,0.00E+00,0.00E+00
6-21040001,6/26/2018,6,June,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.587,7.9,8.3,4.696,1.133,0.285,0.1313,-0.007,0.0088,10.039,17.959,9.92E+06,1.09E+04,0.00E+00,0.00E+00
6-21890001,6/26/2018,6,June,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.663,11.8,7.8,6.232,1.129,0.34,0.1346,-0.002,0.0027,2.478,41.473,3.54E+06,2.35E+03,0.00E+00,0.00E+00
6-21910001,6/26/2018,6,June,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.72,12.7,8.2,6.377,1.225,0.408,0.2014,0.002,0.0088,10.092,8.152,1.76E+06,3.10E+02,0.00E+00,0.00E+00
6-21150001,6/26/2018,6,June,41.42801,-94.78194,Lake_Anita_Beach,ANITA,1.26,9.03,8.9,4.413,1.261,0.374,0.205,0.064,0.043,19.205,6.566,5.54E+06,1.15E+03,0.00E+00,0.00E+00
6-21920001,6/26/2018,6,June,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.715,7.67,8.5,6.129,1.408,0.419,0.2153,0.484,0.056,19.285,11.534,2.39E+06,2.07E+04,0.00E+00,0.00E+00
6-21620001,6/26/2018,6,June,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,1.043,9.8,9.1,5.542,1.197,0.436,0.0673,0.005,0.0061,19.376,19.303,1.56E+06,4.92E+03,0.00E+00,0.00E+00
6-21520001,6/26/2018,6,June,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.768,10.1,8.8,4.01,1.155,0.434,0.0832,0.085,0.0028,2.627,10.817,6.20E+06,1.52E+04,0.00E+00,0.00E+00
6-21780001,6/26/2018,6,June,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.83,13.7,8.2,3.202,1.114,0.205,0.0419,0.081,0.0118,27.543,18.111,5.57E+06,2.91E+04,0.00E+00,0.00E+00
6-21870001,6/26/2018,6,June,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,8.375,9.65,8.5,7.973,1.288,0.283,0.0691,0.091,0.0081,7.961,8.564,1.97E+06,4.25E+04,0.00E+00,0.00E+00
6-21260001,6/26/2018,6,June,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.522,9.24,8,20.87,1.176,0.372,0.1335,-0.019,0.0038,3.183,7.001,6.10E+06,5.41E+03,0.00E+00,0.00E+00
6-21670001,6/26/2018,6,June,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.587,16.6,8.3,5.754,1.082,0.388,0.0812,0.068,0.0121,9.16,63.77,3.06E+06,5.03E+02,0.00E+00,0.00E+00
6-21420001,6/26/2018,6,June,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.575,17.9,8,2.61,1.352,0.454,0.0412,1.886,0.1344,15.211,8.796,1.88E+06,2.73E+03,0.00E+00,0.00E+00
6-21170002,6/26/2018,6,June,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,14.993,12.4,,5.814,1.159,0.406,0.0535,-0.009,0.0053,13.33,10.302,2.51E+06,1.83E+05,0.00E+00,0.00E+00
6-21270001,6/26/2018,6,June,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.59,10.5,8.5,5.148,1.215,0.261,0.0661,-0.013,0.0027,1.061,3.208,6.90E+06,0.00E+00,0.00E+00,0.00E+00
6-21130002,6/26/2018,6,June,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.415,13.7,8.03,4.145,1.259,0.438,0.0759,0.419,0.0076,10.56,50.134,1.63E+06,1.05E+04,0.00E+00,0.00E+00
6-21130001,6/26/2018,6,June,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.725,13.1,8.35,4.848,1.257,0.468,0.0513,0.341,0.0277,25.478,49.986,3.26E+06,1.86E+04,0.00E+00,0.00E+00
6-21300002,6/26/2018,6,June,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.65,12.4,8.31,4.306,1.306,0.399,0.2713,0.054,0.0053,24.079,13.357,5.13E+06,3.19E+04,0.00E+00,0.00E+00
6-21830001,6/26/2018,6,June,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.375,10.6,8.4,3.867,1.074,0.397,0.0571,0.19,0.0264,12.898,6.61,2.12E+06,5.49E+03,0.00E+00,0.00E+00
6-21590001,6/26/2018,6,June,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.817,6.81,7.9,6.597,1.263,0.362,0.0914,0.001,0.0054,5.721,5.942,1.39E+06,3.36E+02,0.00E+00,0.00E+00
6-21500001,6/26/2018,6,June,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.66,13.1,8.4,3.064,1.233,0.374,0.0522,2.63,0.1135,13.968,14.049,8.28E+06,5.89E+03,0.00E+00,0.00E+00
6-21390001,6/26/2018,6,June,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.87,14.7,8.4,3.378,1.22,0.426,0.0789,4.58,0.0073,31.316,10.706,5.76E+06,1.52E+03,0.00E+00,0.00E+00
6-21300003,6/26/2018,6,June,42.128721,-92.72652,Triboji_Beach,MILFORD,0.558,12.6,8.08,4.209,1.259,0.331,0.0549,0.111,0.0117,23.336,12.718,7.42E+06,4.10E+03,0.00E+00,0.00E+00
6-21860001,6/26/2018,6,June,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,0.865,13.5,7.8,3.313,1.234,0.537,0.0753,1.471,0.1146,13.483,6.493,3.33E+06,4.46E+04,0.00E+00,0.00E+00
6-21690001,6/26/2018,6,June,40.976,-95.02935,Viking_Lake_Beach,STANTON,2.45,10.4,8.6,5.754,1.125,0.281,0.1212,0.054,0.0053,8.431,4.574,3.86E+06,1.44E+04,0.00E+00,2.41E+04
7-21280001,7/3/2018,7,July,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.205,14.1,7.9,2.18,1.119,0.437,0.1216,10.931,0.0426,17.63,22.616,6.09E+06,0.00E+00,0.00E+00,0.00E+00
7-21350001,7/3/2018,7,July,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.31,13,7.8,2.736,1.111,0.503,0.0396,10.749,0.05,14.723,14.865,8.41E+06,4.62E+02,0.00E+00,0.00E+00
7-21770001,7/3/2018,7,July,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0,9.33,8.4,3.869,1.236,0.423,0.1796,4.405,0.0774,11.914,13.847,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7-21810002,7/3/2018,7,July,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.41,9.38,8.8,5.97,1.082,0.622,0.0485,0.528,0.09,19.697,14.038,3.59E+06,2.01E+04,0.00E+00,0.00E+00
7-21940001,7/3/2018,7,July,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.2,9.82,8.2,4.503,1.195,0.387,1.4224,7.052,0.0736,9.858,12.789,1.15E+06,0.00E+00,0.00E+00,0.00E+00
7-21170001,7/3/2018,7,July,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,1.403,8.15,8.3,7.009,1.03,0.614,0.0353,0.032,0.0067,13.5,10.417,3.74E+06,2.84E+04,0.00E+00,0.00E+00
7-21300005,7/3/2018,7,July,43.496339,-95.120872,Crandalls_Beach,MILFORD,1.692,10.5,8.4,6.506,1.099,0.498,0.0273,0.056,0.0114,15.749,16.222,1.96E+06,2.23E+04,0.00E+00,0.00E+00
7-21810001,7/3/2018,7,July,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.24,11.2,8.6,6.667,1.025,0.577,0.0464,2.548,0.1759,14.783,17.269,2.24E+06,1.28E+04,0.00E+00,0.00E+00
7-21300004,7/3/2018,7,July,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.153,10.8,8.3,29.78,1.147,0.465,0.0303,0.013,0.0034,22.678,12.906,8.50E+06,5.57E+03,0.00E+00,0.00E+00
7-21070001,7/3/2018,7,July,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.338,9.42,8.4,4.796,1.175,0.419,0.0321,-0.003,0.0047,52.522,13.01,2.09E+06,9.06E+03,0.00E+00,1.43E+04
7-21880001,7/3/2018,7,July,41.09832,-94.38405,Green_Valley_Beach,CRESTON,30.37,9.8,8.5,8.982,1.139,0.52,1.002,0.05,0.0154,7.387,17.497,3.65E+06,3.24E+05,0.00E+00,0.00E+00
7-21880001,7/3/2018,7,July,41.09832,-94.38405,Green_Valley_Beach,CRESTON,0,9.03,,,,,,,,,,,,,
7-21300001,7/3/2018,7,July,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.007,10.4,8.4,5.656,1.104,0.325,0.031,0.044,0.0046,23.419,13.735,6.43E+06,1.18E+04,0.00E+00,0.00E+00
7-21040001,7/3/2018,7,July,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.22,5.44,8.38,5.328,1.075,0.509,0.0357,0.019,0.0066,9.008,18.421,6.37E+06,1.40E+04,0.00E+00,0.00E+00
7-21890001,7/3/2018,7,July,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.063,6.43,8.1,6.987,1.129,0.574,0.0819,0.044,0.0088,18.012,22.752,2.99E+06,2.05E+03,0.00E+00,0.00E+00
7-21910001,7/3/2018,7,July,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.275,10.6,8.72,7.652,1.062,0.514,0.0778,0.028,0.0074,9.147,7.423,1.51E+06,8.05E+02,0.00E+00,0.00E+00
7-21150001,7/3/2018,7,July,41.42801,-94.78194,Lake_Anita_Beach,ANITA,2.13,8.29,8.4,5.423,3.778,0.477,0.0282,0.031,0.0048,8.448,7.541,2.62E+06,1.53E+04,0.00E+00,4.90E+04
7-21920001,7/3/2018,7,July,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.245,6.89,9.2,7.835,1.178,0.5005,0.1622,0.042,0.0084,18.667,11.667,1.65E+06,4.69E+03,0.00E+00,0.00E+00
7-21620001,7/3/2018,7,July,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.287,11.1,9.1,7.525,1.103,0.478,0.0303,0.037,0.0034,2.157,42.457,1.19E+06,3.73E+03,0.00E+00,0.00E+00
7-21520001,7/3/2018,7,July,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0,6.54,8.8,4.618,1.093,0.537,0.2199,0.008,0.0074,30.536,11.845,3.63E+06,1.47E+03,0.00E+00,0.00E+00
7-21520001,7/3/2018,7,July,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0,6.99,,,,,,,,,,,,,
7-21780001,7/3/2018,7,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0,10.4,8.18,3.874,1.123,0.5,0.0711,0.043,0.0113,26.708,21.425,7.32E+06,2.64E+04,0.00E+00,0.00E+00
7-21780001,7/3/2018,7,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0,10.4,,,,,,,,,,,,,
7-21870001,7/3/2018,7,July,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,2.443,5.14,8.8,9.221,1.133,0.552,0.0237,0.041,0.0061,5.143,9.954,1.43E+06,7.46E+03,0.00E+00,0.00E+00
7-21260001,7/3/2018,7,July,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.127,6.31,8.2,7.422,1.106,0.377,0.0271,0.004,0.0026,2.51,6.248,1.47E+06,4.26E+02,0.00E+00,0.00E+00
7-21670001,7/3/2018,7,July,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.32,11.6,8.48,7.003,1.097,0.421,0.0381,0.024,0.0122,7.546,54.673,4.07E+06,7.80E+02,0.00E+00,0.00E+00
7-21420001,7/3/2018,7,July,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0,13.6,8.5,3.326,1.161,0.482,0.0312,2.095,0.1013,14.003,8.609,5.12E+05,1.04E+03,0.00E+00,0.00E+00
7-21170002,7/3/2018,7,July,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,4.725,9.42,8.7,7.676,1.17,0.56,0.0295,0.008,0.0057,12.633,9.723,1.60E+06,3.75E+04,0.00E+00,0.00E+00
7-21270001,7/3/2018,7,July,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.512,7.85,8.72,6.345,1.239,0.506,0.0272,0.001,0.0033,0.809,2.13,2.18E+06,0.00E+00,0.00E+00,0.00E+00
7-21130002,7/3/2018,7,July,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.51,11.5,8.3,6.015,1.047,0.56,0.0536,0.251,0.0296,24.655,51.106,1.36E+06,4.97E+03,0.00E+00,0.00E+00
7-21130001,7/3/2018,7,July,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.43,10.7,8.4,5.98,1.159,0.466,0.0579,0.204,0.0271,25.087,55.973,1.31E+06,4.35E+03,0.00E+00,0.00E+00
7-21300002,7/3/2018,7,July,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0,10.6,8.2,5.936,1.162,0.52,0.036,0.07,0.0065,22.51,12.602,3.85E+06,1.21E+04,0.00E+00,0.00E+00
7-21300002,7/3/2018,7,July,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0,10.6,,,,,,,,,,,,,
7-21830001,7/3/2018,7,July,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0,9.57,8.72,4.58,1.193,0.59,0.0409,0.093,0.0227,10.403,7.221,2.94E+06,1.61E+04,0.00E+00,0.00E+00
7-21590001,7/3/2018,7,July,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.278,5.49,7.82,7.465,1.087,0.396,0.0318,0.049,0.0037,4.908,5.176,1.03E+06,0.00E+00,0.00E+00,0.00E+00
7-21500001,7/3/2018,7,July,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.162,9.56,8.2,3.774,1.122,0.437,0.0431,3.403,0.1034,12.671,12.645,3.42E+06,3.85E+03,0.00E+00,0.00E+00
7-21390001,7/3/2018,7,July,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.032,13.5,8.5,3.629,1.149,0.54,1.3992,4.687,0.1169,6.875,9.788,2.23E+06,4.95E+02,0.00E+00,0.00E+00
7-21300003,7/3/2018,7,July,42.128721,-92.72652,Triboji_Beach,MILFORD,0,11.2,8.1,5.773,1.264,0.593,0.0434,0.477,0.0297,22.382,12.024,5.89E+06,8.55E+03,0.00E+00,0.00E+00
7-21860001,7/3/2018,7,July,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,0.445,9.63,8.5,4.082,1.164,0.512,0.1551,1.494,0.092,11.341,8.049,1.79E+06,1.03E+04,0.00E+00,0.00E+00
7-21690001,7/3/2018,7,July,40.976,-95.02935,Viking_Lake_Beach,STANTON,6.03,7.13,8.4,7.191,1.206,0.503,0.0917,-0.007,0.0059,6.704,5.642,1.79E+06,1.67E+04,0.00E+00,0.00E+00
8-21280001,7/10/2018,8,July,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.425,12.1,8.14,5.611,1.321,0.441,0.0296,0.043,0.0094,-2.433,16.944,7.09E+06,7.33E+03,0.00E+00,0.00E+00
8-21350001,7/10/2018,8,July,42.77043,-93.23654,Beeds_Lake,HAMPTON,0,12,8.6,5.474,1.256,0.548,0.0198,0.07,0.0097,52.195,14.596,1.37E+06,5.29E+03,0.00E+00,1.75E+04
8-21770001,7/10/2018,8,July,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.13,8.04,8.5,7.439,1.206,0.642,0.046,0.273,0.0279,25.629,52.392,1.14E+06,1.37E+04,0.00E+00,0.00E+00
