Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
8-21810002,7/10/2018,8,July,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.853,12,8.4,6.997,1.035,0.602,0.0283,0.323,0.0287,25.188,48.028,1.87E+06,8.58E+03,0.00E+00,0.00E+00
8-21940001,7/10/2018,8,July,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0,9.52,8.5,5.943,1.194,0.447,0.0446,0.088,0.0111,10.095,8.444,2.58E+06,3.33E+04,0.00E+00,0.00E+00
8-21170001,7/10/2018,8,July,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,2.862,10.9,,39.12,1.218,0.495,0.0228,0.053,0.0086,4.656,9.284,2.24E+06,2.47E+04,0.00E+00,0.00E+00
8-21300005,7/10/2018,8,July,43.496339,-95.120872,Crandalls_Beach,MILFORD,1.11,10.7,8.76,8.155,1.254,0.452,0.0272,0.022,0.0054,3.188,9.106,1.57E+06,2.53E+04,0.00E+00,0.00E+00
8-21300005-Dup,7/10/2018,8,July,43.496339,-95.120872,Crandalls_Beach,MILFORD,0,10.2,,,,,,,,,,,,,
8-21810001,7/10/2018,8,July,42.30153,-95.036022,Denison_Beach,LAKE VIEW,1.038,10.2,8.5,7.625,1.219,0.556,0.0146,0.021,0.0031,-13.443,5.982,4.55E+06,1.23E+03,0.00E+00,0.00E+00
8-21300004,7/10/2018,8,July,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.248,17.6,8.28,6.647,1.177,0.438,0.0291,0.016,0.0037,-16.685,3.04,2.61E+06,0.00E+00,0.00E+00,0.00E+00
8-21070001,7/10/2018,8,July,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.72,6.7,8.2,1.908,1.219,0.505,0.0684,8.195,0.0445,17.916,20.715,1.08E+07,1.24E+03,0.00E+00,0.00E+00
8-21880001,7/10/2018,8,July,41.09832,-94.38405,Green_Valley_Beach,CRESTON,2.14,10.6,7.8,7.213,1.317,0.502,0.0147,0.034,0.0067,11.124,11.008,7.00E+06,1.96E+04,0.00E+00,0.00E+00
8-21300001,7/10/2018,8,July,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.165,22.4,8.4,5.867,1.197,0.576,0.0248,0.077,0.0061,15.999,11.319,4.98E+06,2.50E+04,0.00E+00,0.00E+00
8-21040001,7/10/2018,8,July,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.047,6.86,8.4,5.895,1.253,0.44,0.0198,0.047,0.0095,13.792,11.238,5.60E+06,2.03E+04,0.00E+00,0.00E+00
8-21890001,7/10/2018,8,July,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.315,7.17,8.4,6.476,1.302,0.4,0.1288,0.127,0.0037,16.31,14.993,8.16E+06,6.29E+03,0.00E+00,0.00E+00
8-21910001,7/10/2018,8,July,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.212,15.1,8.5,7.125,1.232,0.476,0.0195,0.078,0.014,5.348,14.648,2.18E+06,1.92E+04,0.00E+00,0.00E+00
8-21150001,7/10/2018,8,July,41.42801,-94.78194,Lake_Anita_Beach,ANITA,0.68,5.7,8.93,3.525,5.832,0.411,0.0187,0.031,0.0049,5.525,15.346,1.12E+07,0.00E+00,0.00E+00,0.00E+00
8-21920001,7/10/2018,8,July,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.278,6.63,8.1,3.483,1.093,0.48,0.0204,4.635,0.1105,9.096,8.121,3.28E+06,1.05E+03,0.00E+00,0.00E+00
8-21620001,7/10/2018,8,July,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.282,8.03,8.29,4.18,1.233,0.647,0.0084,6.497,0.0586,3.798,6.941,3.72E+06,8.51E+03,0.00E+00,0.00E+00
8-21520001,7/10/2018,8,July,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0,6.07,8.22,3.954,1.202,0.474,0.041,1.735,0.2159,2.582,13.261,2.12E+06,1.18E+03,0.00E+00,0.00E+00
8-21780001,7/10/2018,8,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.01,10.2,8.9,5.177,1.23,0.461,0.0466,0.097,0.0092,31.66,11.601,4.60E+06,4.81E+02,0.00E+00,0.00E+00
8-21870001,7/10/2018,8,July,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.257,5.51,7.83,8.238,1.176,0.607,0.0266,0.015,0.0048,-8.658,5.996,4.66E+05,0.00E+00,0.00E+00,0.00E+00
8-21260001,7/10/2018,8,July,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0,6.57,9.1,7.79,1.248,0.544,0.0228,0.041,0.0079,12.11,19.582,4.03E+06,6.06E+03,0.00E+00,0.00E+00
8-21260001-Dup,7/10/2018,8,July,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0,7.65,,,,,,,,,,,,,
8-21670001,7/10/2018,8,July,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.083,11,8.14,7.403,1.128,0.506,0.0224,0.098,0.007,8.804,55.348,3.74E+06,8.91E+02,0.00E+00,0.00E+00
8-21420001,7/10/2018,8,July,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0,18,8,7.937,1.226,0.455,0.016,0.085,0.0076,8.738,5.906,1.68E+06,2.54E+04,0.00E+00,0.00E+00
8-21170002,7/10/2018,8,July,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,3.358,11.8,8.6,4.002,1.21,0.474,0.014,4.412,0.0689,13.901,10.017,5.55E+06,9.52E+02,0.00E+00,0.00E+00
8-21270001,7/10/2018,8,July,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,1.865,11.6,7.81,4.514,1.273,0.432,0.0094,0.151,0.0198,28.931,16.649,8.01E+06,1.68E+04,0.00E+00,0.00E+00
8-21130002,7/10/2018,8,July,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.707,9.45,8.8,6.794,1.218,0.508,0.0304,1.409,0.1266,17.713,14.744,3.04E+06,3.74E+04,0.00E+00,0.00E+00
8-21130001,7/10/2018,8,July,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,2.21,9.76,8.7,8.615,1.284,0.474,0.0205,0.468,0.0884,20.702,16.761,4.23E+06,4.55E+04,0.00E+00,0.00E+00
8-21300002,7/10/2018,8,July,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,2.237,10.8,8.24,5.261,1.2,0.493,0.0271,0.285,0.0356,13.589,5.737,1.75E+06,4.55E+04,0.00E+00,0.00E+00
8-21830001,7/10/2018,8,July,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,2.432,11.6,9,4.59,1.139,0.614,0.0262,1.645,0.0974,14.504,7.114,2.56E+06,2.20E+03,0.00E+00,0.00E+00
8-21590001,7/10/2018,8,July,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.23,6.46,8.6,10.74,1.121,0.395,0.0176,0.124,0.0105,8.388,8.884,1.05E+06,1.18E+03,0.00E+00,0.00E+00
8-21590001-Dup,7/10/2018,8,July,41.00091,-93.272,Red_Haw_Beach,CHARITON,0,5.85,,,,,,,,,,,,,
8-21500001,7/10/2018,8,July,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,2.115,8.03,8.4,8.586,1.245,0.475,0.0076,0.112,0.0135,10.232,9.444,3.07E+06,1.25E+05,0.00E+00,0.00E+00
8-21500001-Dup,7/10/2018,8,July,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0,8.23,,,,,,,,,,,,,
8-21390001,7/10/2018,8,July,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.347,10.8,8.3,7.697,1.24,0.461,0.0236,0.034,0.003,-14.168,39.747,7.41E+06,0.00E+00,0.00E+00,0.00E+00
8-21300003,7/10/2018,8,July,42.128721,-92.72652,Triboji_Beach,MILFORD,0.055,10.9,8.01,8.194,1.264,0.437,0.0204,0.033,0.0084,-0.834,6.688,5.58E+06,0.00E+00,0.00E+00,0.00E+00
8-21860001,7/10/2018,8,July,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,0.047,10.3,9.3,9.023,1.17,0.4415,0.0243,0.0415,0.0123,12.1485,10.762,1.81E+06,5.03E+03,0.00E+00,0.00E+00
8-21690001,7/10/2018,8,July,40.976,-95.02935,Viking_Lake_Beach,STANTON,8.8055,5.21,8.6,4.56,1.194,0.563,0.0117,7.268,0.094,14.12,13.442,3.26E+06,5.33E+02,0.00E+00,0.00E+00
9-21280001,7/17/2018,9,July,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.155,13.9,7.09,1.869,1.694520796,0.167,-0.0012,6.462,0.0559,11.682,23.257,1.20E+07,0.00E+00,0.00E+00,0.00E+00
9-21280001-Dup,7/17/2018,9,July,42.601715,-91.534234,Backbone_Beach,DUNDEE,0,13.1,,,,,,,,,,,,,
9-21350001,7/17/2018,9,July,42.77043,-93.23654,Beeds_Lake,HAMPTON,0,13.8,8.28,2.876,0.896238698,0.122,0.0092,5.746,0.0739,14.334,17.144,2.07E+07,1.82E+04,0.00E+00,0.00E+00
9-21770001,7/17/2018,9,July,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0,5.9,8.05,6.61,1.221509946,0.161,-0.0003,4.433,0.0661,10.663,9.789,7.34E+06,0.00E+00,0.00E+00,0.00E+00
9-21810002,7/17/2018,9,July,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,5.755,14.8,9.1,4.824,1.35579566,0.256,0.0236,0.001,0.0157,16.836,18.595,6.18E+06,1.99E+05,0.00E+00,0.00E+00
9-21940001,7/17/2018,9,July,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0,10.7,8.9,3.918,1.165759494,0.213,0.0259,7.184,0.1218,12.015,15.115,8.37E+06,5.80E+03,0.00E+00,0.00E+00
9-21940001-Dup,7/17/2018,9,July,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0,9.41,,,,,,,,,,,,,
9-21170001,7/17/2018,9,July,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,0.952,8.62,8.14,6.046,1.140099458,0.153,-0.0057,0.041,0.0005,16.323,9.291,5.52E+06,4.86E+04,0.00E+00,0.00E+00
9-21300005,7/17/2018,9,July,43.496339,-95.120872,Crandalls_Beach,MILFORD,0.785,9.41,8.6,5.192,0.909755877,0.152,-0.0035,0.029,-0.0008,17.127,15.926,4.14E+06,4.37E+04,0.00E+00,0.00E+00
9-21810001,7/17/2018,9,July,42.30153,-95.036022,Denison_Beach,LAKE VIEW,3.922,10.5,9,3.408,1.257206148,0.194,0.0181,0.233,0.056,12.982,17.503,5.20E+06,1.20E+05,0.00E+00,0.00E+00
9-21300004,7/17/2018,9,July,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.013,11.7,8.3,5.094,1.025976492,0.184,0.0099,0.037,-0.0027,24.205,13.366,1.45E+07,3.75E+04,0.00E+00,0.00E+00
9-21070001,7/17/2018,9,July,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.08,9.4,9.7,4.439,1.845135624,0.216,0.0387,0.005,0.0078,43.909,15.46,2.89E+06,1.39E+04,0.00E+00,1.43E+04
9-21880001,7/17/2018,9,July,41.09832,-94.38405,Green_Valley_Beach,CRESTON,2.477,12,8.7,8.547,1.24721519,0.166,0.0045,0.016,0.0097,8.53,10.802,4.86E+06,1.29E+05,0.00E+00,0.00E+00
9-21300001,7/17/2018,9,July,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.52,10.8,8.5,5.052,1.043056058,0.231,0.0037,0.058,0,22.699,13.097,8.43E+06,8.11E+04,0.00E+00,0.00E+00
9-21040001,7/17/2018,9,July,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.538,6.18,8.5,5.153,1.072775769,0.159,-0.0016,0.042,0.0048,10.386,17.71,1.37E+07,8.11E+04,0.00E+00,0.00E+00
9-21890001,7/17/2018,9,July,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.498,6.55,8,6.5,0.93340868,0.125,0.0834,0.078,-0.0015,2.229,36.425,7.92E+06,0.00E+00,0.00E+00,0.00E+00
9-21910001,7/17/2018,9,July,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.465,4.03,8.7,6.881,0.877188065,0.172,0.0215,0.081,0.0025,10.308,7.935,5.39E+06,4.90E+03,0.00E+00,0.00E+00
9-21910001-Dup,7/17/2018,9,July,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0,3.56,,,,,,,,,,,,,
9-21150001,7/17/2018,9,July,41.42801,-94.78194,Lake_Anita_Beach,ANITA,1.205,6.24,8.14,4.899,1.713490054,0.179,0.0277,0.582,0.0054,7.547,9.477,3.60E+06,6.86E+04,0.00E+00,2.22E+04
9-21920001,7/17/2018,9,July,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.683,3.57,8.54,8.128,0.880922,0.182,0.0344,0.086,0.0105,20.391,13.777,1.12E+07,4.74E+04,0.00E+00,0.00E+00
9-21620001,7/17/2018,9,July,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.25,5.34,8.47,7.764,0.872594937,0.146,0.03,0.073,0.0081,19.73,21.656,6.78E+06,1.18E+04,0.00E+00,0.00E+00
9-21520001,7/17/2018,9,July,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.243,5.49,7.05,4.038,1.477603978,0.127,0.0445,0.027,0.0078,26.129,12.782,1.36E+06,0.00E+00,0.00E+00,0.00E+00
9-21780001,7/17/2018,9,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.353,6.21,7.9,6.731,1.371943942,0.183,0.0133,0.06,0.0108,23.382,19.191,7.97E+06,8.47E+03,0.00E+00,0.00E+00
9-21870001,7/17/2018,9,July,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.665,12,8.76,4.117,1.452260398,0.142,0.0106,0.01,0.0056,5.83,10.352,4.45E+06,6.94E+03,0.00E+00,0.00E+00
9-21260001,7/17/2018,9,July,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.805,5.26,7.8,6.44,1.072893309,0.17,-0.0063,0.043,-0.0002,3.157,7.584,2.25E+06,0.00E+00,0.00E+00,0.00E+00
9-21670001,7/17/2018,9,July,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.728,10.3,8.2,6.289,1.636075949,0.12,0.0434,0.001,0.008,6.286,54.679,2.21E+06,0.00E+00,0.00E+00,0.00E+00
9-21420001,7/17/2018,9,July,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.298,16.2,9.2,3.554,0.899412297,0.193,0.0185,1.585,0.1165,14.384,9.397,1.02E+07,1.07E+04,0.00E+00,0.00E+00
9-21170002,7/17/2018,9,July,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,2.375,9.35,8.21,7.164,1.02556962,0.187,-0.002,0.043,0.0002,14.411,8.514,3.32E+06,5.92E+04,0.00E+00,9.89E+03
9-21270001,7/17/2018,9,July,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.517,10.5,8.5,5.773,0.952540687,0.116,0.001,0.036,-0.0015,0.997,3.481,3.90E+06,0.00E+00,0.00E+00,0.00E+00
9-21130002,7/17/2018,9,July,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.77,9.96,8.6,5.53,1.803453888,0.165,0.0281,0.059,0.0202,19.794,54.852,2.67E+06,2.32E+04,0.00E+00,0.00E+00
9-21130001,7/17/2018,9,July,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,2.87,8.22,8.6,5.541,1.969439421,0.176,0.0324,0.054,0.0206,20.457,53.701,1.80E+06,2.00E+04,0.00E+00,0.00E+00
9-21300002,7/17/2018,9,July,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.27,10.1,8.5,4.839,0.866826401,0.129,-0.0027,0.034,0.0026,23.738,13.012,7.59E+06,3.56E+04,0.00E+00,0.00E+00
9-21830001,7/17/2018,9,July,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,3.313,11.7,8.5,6.332,1.314538879,0.193,-0.0011,0.004,0.0022,9.166,8.064,2.44E+06,6.02E+04,0.00E+00,0.00E+00
9-21590001,7/17/2018,9,July,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.93,5.55,8.3,7.075,0.889421338,0.15,0.0149,0.055,0.0017,6.092,7.271,7.33E+05,0.00E+00,0.00E+00,0.00E+00
9-21500001,7/17/2018,9,July,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,1.673,8.18,8.68,3.807,0.891229656,0.179,0.0073,2.521,0.085,13.743,14.883,1.06E+07,9.98E+03,0.00E+00,0.00E+00
9-21390001,7/17/2018,9,July,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.735,12.7,8.3,2.816,1.515940325,0.177,0.0059,4.132,0.1103,6.242,7.773,4.48E+06,1.11E+04,0.00E+00,0.00E+00
9-21300003,7/17/2018,9,July,42.128721,-92.72652,Triboji_Beach,MILFORD,0.78,11.2,8.2,5.131,0.969927667,0.233,0.0272,0.093,0.0092,22.407,12.54,1.20E+07,2.87E+04,0.00E+00,0.00E+00
9-21860001,7/17/2018,9,July,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,1.523,11.8,8.06,4.332,1.219475588,0.196,0.0377,1.048,0.0862,9.775,14.922,3.69E+06,2.00E+04,0.00E+00,0.00E+00
9-21690001,7/17/2018,9,July,40.976,-95.02935,Viking_Lake_Beach,STANTON,4.517,6.94,8.44,6.608,1.655515371,0.148,-0.0012,-0.001,0.0117,5.816,8.419,1.57E+06,2.89E+04,0.00E+00,0.00E+00
9-21690001-Dup,7/17/2018,9,July,40.976,-95.02935,Viking_Lake_Beach,STANTON,0,5.77,,,,,,,,,,,,,
10-21280001,7/24/2018,10,July,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.3,9.32,8.9,2.347,0.041,0.233,-0.047,7.321,0.0491,20.777,24.691,5.04E+06,0.00E+00,0.00E+00,0.00E+00
10-21350001,7/24/2018,10,July,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.063,15.6,7.78,4.873,0.155,0.091,0.9352,3.581271208,0.0928,14.906,20.578,1.66E+07,4.76E+03,0.00E+00,0.00E+00
10-21770001,7/24/2018,10,July,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.167,7.51,7.94,3.857,0.098,0.203,-0.0675,4.329,0.0597,18.878,117.504,9.26E+06,0.00E+00,0.00E+00,0.00E+00
10-21770001-Dup,7/24/2018,10,July,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0,6.05,,,,,,,,,,,,,
10-21810002,7/24/2018,10,July,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.905,7.26,8.9,8.54,-0.055,0.184,0.0886,7.091,0.2794,17.283,19.856,1.42E+07,1.08E+05,0.00E+00,0.00E+00
10-21810002-Dup,7/24/2018,10,July,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0,8.36,,,,,,,,,,,,,
10-21940001,7/24/2018,10,July,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.233,8.44,8.4,4.971,-0.053,0.227,-0.0501,0.119,0.0105,22.338,20.839,3.74E+06,0.00E+00,0.00E+00,0.00E+00
10-21170001,7/24/2018,10,July,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,1.62,7.63,8.01,7.849,-0.12,0.126,0.0715,-0.179512526,0.0008,11.637,10.494,3.91E+06,4.33E+04,0.00E+00,1.23E+04
10-21300005,7/24/2018,10,July,43.496339,-95.120872,Crandalls_Beach,MILFORD,1.885,5.05,8.4,6.988,0.208,0.169,0.889,-0.125729435,0.0086,18.225,18.324,3.06E+06,3.19E+04,0.00E+00,0.00E+00
10-21810001,7/24/2018,10,July,42.30153,-95.036022,Denison_Beach,LAKE VIEW,3.902,6.87,8.9,7.455,0.226,0.198,-0.0569,0.112,0.0077,21.473,21.751,7.27E+06,7.81E+04,0.00E+00,0.00E+00
10-21300004,7/24/2018,10,July,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.585,11.2,8.1,6.237,-0.057,0.201,-0.0631,0.214429256,-0.0002,24.791,16.672,7.38E+06,1.26E+04,0.00E+00,0.00E+00
10-21070001,7/24/2018,10,July,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.55,5.23,9.3,5.024,-0.011,0.242,-0.0868,0.15,-0.0005,31.158,15.237,7.36E+06,3.06E+04,0.00E+00,3.65E+04
10-21880001,7/24/2018,10,July,41.09832,-94.38405,Green_Valley_Beach,CRESTON,2.908,6.37,8.37,9.065,0.009,0.219,0.1524,0.133,0.011,23.547,11.006,1.28E+07,1.75E+05,0.00E+00,0.00E+00
10-21300001,7/24/2018,10,July,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.51,11.3,8.2,6.182,0.242,0.264,1.3894,-0.304568075,-0.0005,23.665,17.877,8.67E+06,5.38E+04,0.00E+00,0.00E+00
10-21040001,7/24/2018,10,July,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.415,2.9,8,6.45,-0.013,0.179,-0.0556,0.692764174,0.0042,9.907,22.346,1.19E+07,3.06E+04,0.00E+00,0.00E+00
10-21890001,7/24/2018,10,July,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.355,8.25,9.03,7.854,-0.014,-0.002,0.9553,-0.165033025,-0.0011,2.701,44.946,6.04E+06,0.00E+00,0.00E+00,0.00E+00
10-21910001,7/24/2018,10,July,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.692,7.98,8.6,27.98,0.094,-0.037,1.4102,-0.2063091,0.0035,12.436,8.335,5.01E+06,0.00E+00,0.00E+00,0.00E+00
10-21150001,7/24/2018,10,July,41.42801,-94.78194,Lake_Anita_Beach,ANITA,2.852,3.17,8.31,5.914,0.006,0.194,-0.0209,0.123,0.0031,15.35,9.579,1.50E+06,2.67E+04,0.00E+00,1.54E+04
10-21920001,7/24/2018,10,July,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,5.142,4.12,9.75,10.99,0.332,0.132,0.8042,-0.141933034,0.0159,21.336,19.655,3.37E+07,2.47E+05,0.00E+00,0.00E+00
10-21620001,7/24/2018,10,July,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.805,5.3,10.1,10.79,0.198,0.076,0.7404,-0.176707214,0.0118,19.351,25.16,4.95E+06,2.11E+04,0.00E+00,0.00E+00
10-21620001-Dup,7/24/2018,10,July,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0,4.84,,,,,,,,,,,,,
10-21520001,7/24/2018,10,July,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.61,3.52,8.03,5.115,0.02,0.133,0.0057,0.12,0.0013,33.843,12.654,2.42E+06,0.00E+00,0.00E+00,0.00E+00
10-21780001,7/24/2018,10,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.995,7.2,7.9,5.273,0.093,0.158,-0.0473,0.162,0.0073,30.389,20.359,1.65E+07,1.68E+04,0.00E+00,0.00E+00
10-21780001-Dup,7/24/2018,10,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0,7.32,,,,,,,,,,,,,
10-21870001,7/24/2018,10,July,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,1.612,4.24,8.3,11.38,0.012,0.232,0.0897,0.128,0.0062,15.435,12.268,4.31E+06,9.78E+03,0.00E+00,0.00E+00
10-21260001,7/24/2018,10,July,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.84,2.96,9.43,8.909,0.33,0.16,-0.0186,-0.286888765,0.0009,4.224,10.408,8.05E+05,0.00E+00,0.00E+00,0.00E+00
10-21670001,7/24/2018,10,July,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.975,8.68,8.2,8.352,0.023,0.193,-0.0096,0.116,0.0044,13.131,72.508,2.00E+06,0.00E+00,0.00E+00,0.00E+00
10-21420001,7/24/2018,10,July,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,1.028,12.6,8.13,4.73,0.059,0.146,1.0033,0.883335447,0.075,14.612,10.671,4.44E+06,0.00E+00,0.00E+00,0.00E+00
