Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
13-21070001,8/14/2018,13,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,1.097,9.48,9,5.509,1.1,0.316,-0.0374,0.248,0.0051,54.052,17.65,8.70E+06,3.23E+04,0.00E+00,1.54E+05
13-21880001,8/14/2018,13,August,41.09832,-94.38405,Green_Valley_Beach,CRESTON,4.688,11.6,9.1,6.388,1.115,0.253,-0.0198,0.29,0.0048,9.649,9.653,7.43E+06,1.83E+05,0.00E+00,0.00E+00
13-21300001,8/14/2018,13,August,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.538,10.4,8.1,5.883,1.063,0.289,-0.0376,0.019,0,23.632,18.116,2.25E+07,7.26E+04,0.00E+00,0.00E+00
13-21040001,8/14/2018,13,August,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.433,9.88,8.72,24.65,1.12,0.277,-0.0389,0.009,0.0024,10.756,20.5,8.55E+06,1.07E+04,0.00E+00,0.00E+00
13-21890001,8/14/2018,13,August,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.29,11.3,8.4,6.6135,1.039,0.208,0.5995,0.015,0.0014,2.8,41.075,1.19E+07,1.11E+04,0.00E+00,0.00E+00
13-21910001,8/14/2018,13,August,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.317,9.2,8.62,24.8,1.055,0.169,0.5721,0.01,0.0047,11.042,9.734,6.47E+06,0.00E+00,0.00E+00,0.00E+00
13-21150001,8/14/2018,13,August,41.42801,-94.78194,Lake_Anita_Beach,ANITA,1.305,9.33,9,5.407,1.106,0.269,0.0127,0.269,0.0013,10.408,8.923,5.52E+06,3.22E+04,0.00E+00,7.69E+04
13-21920001,8/14/2018,13,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.473,10.7,9.2,7.612,1.15,0.174,0.4547,0.064,0.0191,21.529,16.311,3.78E+07,3.28E+04,0.00E+00,0.00E+00
13-21920001-Dup,8/14/2018,13,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0,9.75,,,,,,,,,,,,,
13-21620001,8/14/2018,13,August,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,1.082,11,9.9,10.71,1.143,0.199,0.3901,0.026,0.0184,20.8,27.952,5.40E+06,2.58E+04,0.00E+00,0.00E+00
13-21520001,8/14/2018,13,August,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.57,10.2,8.4,4.5195,1.094,0.27,-0.0339,0.255,0.0023,30.833,13.045,1.58E+07,0.00E+00,0.00E+00,0.00E+00
13-21780001,8/14/2018,13,August,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,1.203,9.48,8.76,4.123,1.228,0.23,-0.0351,0.277,0.0113,29.574,20.278,4.59E+06,2.29E+04,0.00E+00,0.00E+00
13-21870001,8/14/2018,13,August,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.803,6.28,8.97,10.27,1.064,0.305,0.0437,0.282,0.0086,8.212,13.693,8.90E+06,8.71E+03,0.00E+00,0.00E+00
13-21260001,8/14/2018,13,August,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.46,11.3,8.6,7.962,1.12,0.273,-0.0417,0.034,0.0048,4.184,13.487,3.41E+06,7.10E+03,0.00E+00,0.00E+00
13-21670001,8/14/2018,13,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.82,11.2,8.69,9.54,1.181,0.25,-0.0399,0.27,0.0087,9.879,61.712,2.06E+07,0.00E+00,0.00E+00,0.00E+00
13-21670001-Dup,8/14/2018,13,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0,13,,,,,,,,,,,,,
13-21420001,8/14/2018,13,August,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.442,8.97,8.5,7.19,1.071,0.269,0.0024,0.009,0.0019,6.483,8.543,8.79E+06,1.93E+04,0.00E+00,0.00E+00
13-21170002,8/14/2018,13,August,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,2.832,13.6,8.4,7.881,1.185,0.228,-0.0297,0.039,-0.001,13.686,10.205,5.36E+06,1.63E+05,0.00E+00,0.00E+00
13-21270001,8/14/2018,13,August,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.52,11.2,8.81,6.2015,1.031,0.282,-0.0311,-0.001,-0.001,1.484,5.241,9.62E+06,0.00E+00,0.00E+00,0.00E+00
13-21130002,8/14/2018,13,August,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.3,13.6,8.7,6.454,1.091,0.307,-0.0213,0.279,0.0132,24.404,62.849,7.74E+06,4.04E+04,0.00E+00,0.00E+00
13-21130001,8/14/2018,13,August,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.617,14.7,8.6,6.524,1.004,0.334,-0.0378,0.292,0.0149,24.301,59.457,7.72E+06,6.18E+04,0.00E+00,0.00E+00
13-21300002,8/14/2018,13,August,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,1.125,13.8,8.2,5.201,1.021,0.329,0.0271,0.035,0.0009,23.427,15.949,2.09E+07,4.83E+04,0.00E+00,0.00E+00
13-21830001,8/14/2018,13,August,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.717,8.56,9.11,5.603,1.172,0.303,-0.0389,0.263,0.0105,13.749,13.966,5.28E+06,5.42E+03,0.00E+00,0.00E+00
13-21590001,8/14/2018,13,August,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.863,15.1,7.84,4.284,1.174,0.368,0.0826,0.06,0.0223,14.961,10.551,1.87E+07,0.00E+00,0.00E+00,0.00E+00
13-21500001,8/14/2018,13,August,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,1.263,11.1,8.7,4.075,1.17,0.241,0.5134,0.671,0.1646,13.603,18.363,2.10E+07,1.16E+05,0.00E+00,0.00E+00
13-21390001,8/14/2018,13,August,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.425,15.1,9.09,3.735,1.092,0.292,-0.0334,1.002,0.0601,8.769,11.287,4.75E+06,6.75E+03,0.00E+00,0.00E+00
13-21300003,8/14/2018,13,August,42.128721,-92.72652,Triboji_Beach,MILFORD,0.33,13.8,8.3,5.256,1.117,0.283,-0.0438,0.044,0.0025,23.648,16.829,1.86E+07,1.92E+04,0.00E+00,0.00E+00
13-21860001,8/14/2018,13,August,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,1.743,10.7,9.1,4.14,1.066,0.309,-0.0309,0.259,0.004,12.758,13.232,2.94E+07,1.45E+05,0.00E+00,2.87E+04
13-21690001,8/14/2018,13,August,40.976,-95.02935,Viking_Lake_Beach,STANTON,20,14,9.1,9.206,1.073,0.302,-0.0504,0.281,0.0076,8.967,11.276,2.21E+06,6.83E+04,0.00E+00,0.00E+00
14-21280001,8/21/2018,14,August,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.438,16.5,8.9,2.151,1.064,0.169,0.4391,7.496,0.0364,16.674,23.57,4.04E+07,0.00E+00,0.00E+00,0.00E+00
14-21350001,8/21/2018,14,August,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.377,18.6,7.8,4.764,1.224,0.197,0.5078,8.327,0.0445,15.852,18.626,3.31E+07,3.82E+04,0.00E+00,0.00E+00
14-21770001,8/21/2018,14,August,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.69,12.9,8.9,4.245,1.068,0.187,0.0357,1.937,0.0636,16.299,11.527,4.82E+06,0.00E+00,0.00E+00,0.00E+00
14-21810002,8/21/2018,14,August,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.69,14.5,8.3,7.837,1.022,0.193,0.049,0.013,0.0169,19.905,15.965,1.88E+08,5.89E+04,0.00E+00,0.00E+00
14-21940001,8/21/2018,14,August,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,1.628,13.5,8.2,5.597,1.049,0.172,0.0934,4.854,0.176,14.482,16.828,4.44E+06,3.35E+04,0.00E+00,0.00E+00
14-21170001,8/21/2018,14,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,6.108,11.8,8.6,8.03,1.036,0.166,0.0139,0.105,0.009,16.223,8.895,1.40E+06,1.09E+04,0.00E+00,0.00E+00
14-21170001-Dup,8/21/2018,14,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,0,,,,,,,,,,,,,,
14-21300005,8/21/2018,14,August,43.496339,-95.120872,Crandalls_Beach,MILFORD,2.615,13,8.5,6.832,1.045,0.164,0.1114,-0.04,0.0055,18.62,14.08,7.36E+06,2.28E+05,0.00E+00,0.00E+00
14-21810001,8/21/2018,14,August,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.433,13.5,8.4,7.755,1.166,0.171,0.0137,0.025,0.0122,19.612,13.675,1.19E+08,6.48E+04,0.00E+00,0.00E+00
14-21300004,8/21/2018,14,August,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.625,13.8,8.3,34.45,1.091,0.154,-0.0092,-0.035,0.0069,24.509,13.024,9.57E+06,3.70E+04,0.00E+00,0.00E+00
14-21070001,8/21/2018,14,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.65,16.5,8.8,7.456,1.117,0.162,0.0427,0.025,0.0057,53.878,17.04,3.55E+06,1.75E+04,0.00E+00,3.00E+04
14-21070001-Dup,8/21/2018,14,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0,16.1,,,,,,,,,,,,,
14-21880001,8/21/2018,14,August,41.09832,-94.38405,Green_Valley_Beach,CRESTON,6.922,14.4,8.3,9.226,1.118,0.139,0.0413,-0.027,0.0116,10.587,8.987,8.09E+06,3.31E+05,0.00E+00,0.00E+00
14-21300001,8/21/2018,14,August,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.335,12.2,8.3,6.068,1.062,0.147,0.2005,-0.019,0.0048,24.504,13.274,1.28E+07,5.20E+04,0.00E+00,0.00E+00
14-21040001,8/21/2018,14,August,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.425,8.47,8.11,6.267,1.201,0.118,0.0304,0.205,0.0051,11.874,19.941,8.90E+06,2.52E+04,0.00E+00,0.00E+00
14-21890001,8/21/2018,14,August,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.675,9.28,8.3,7.656,1.015,0.156,0.2498,0.015,0.0097,4.062,38.519,0.00E+00,0.00E+00,0.00E+00,0.00E+00
14-21910001,8/21/2018,14,August,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.752,8.14,7.9,29.78,1.165,0.097,0.546,0.181,0.0145,12.764,7.615,9.69E+03,0.00E+00,0.00E+00,0.00E+00
14-21150001,8/21/2018,14,August,41.42801,-94.78194,Lake_Anita_Beach,ANITA,0.34,11,8.03,5.747,1.064,0.16,0.0349,0.031,0.0072,10.614,7.446,1.32E+07,1.43E+04,0.00E+00,3.94E+04
14-21920001,8/21/2018,14,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.567,8.7,7.4,9.291,1.0865,-0.1215,0.7446,-0.0735,0.01455,22.4605,11.0705,5.07E+07,4.82E+03,0.00E+00,0.00E+00
14-21620001,8/21/2018,14,August,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.855,9.57,9,11.055,1.031,0.1445,0.3792,-0.0565,0.0175,22.2595,21.615,1.08E+06,5.16E+03,0.00E+00,0.00E+00
14-21520001,8/21/2018,14,August,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.493,9.75,8.75,5.022,1.048,0.157,0.5096,0.027,0.0034,32.156,12.673,8.58E+06,0.00E+00,0.00E+00,0.00E+00
14-21780001,8/21/2018,14,August,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,1.34,12.4,8.25,4.398,1.139,0.131,0.4183,0.104,0.0162,29.269,18.298,1.48E+07,6.49E+04,0.00E+00,0.00E+00
14-21870001,8/21/2018,14,August,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.653,8.31,8.9,10.72,0.973,0.145,0.0569,-0.02,0.0119,10.163,8.597,2.73E+06,6.00E+04,0.00E+00,0.00E+00
14-21260001,8/21/2018,14,August,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.358,5.62,8.4,9.958,0.985,0.164,0.0477,-0.01,0.009,5.502,9.632,4.08E+06,8.34E+03,0.00E+00,0.00E+00
14-21670001,8/21/2018,14,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.678,14.1,8.48,10.54,1.073,-0.11,0.533,0.013,0.0139,10.442,61.789,9.44E+06,0.00E+00,0.00E+00,0.00E+00
14-21420001,8/21/2018,14,August,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.545,10.9,8.15,3.667,1.0365,0.249,0.60695,0.6495,0.06725,15.584,10.0725,2.78E+07,1.96E+04,0.00E+00,0.00E+00
14-21170002,8/21/2018,14,August,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,4.977,13.9,8.1,9.24,1.112,0.155,0.0227,0.074,0.0032,15.423,7.787,2.07E+06,2.74E+04,0.00E+00,0.00E+00
14-21270001,8/21/2018,14,August,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.533,7.39,8.62,7.272,1.005,0.165,0.0084,-0.026,-0.0002,2.794,3.821,6.85E+06,0.00E+00,0.00E+00,0.00E+00
14-21130002,8/21/2018,14,August,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,0.67,13,8.5,7.896,1.027,0.179,0.0325,0.002,0.0202,23.779,61.991,4.30E+06,1.61E+04,0.00E+00,0.00E+00
14-21130001,8/21/2018,14,August,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,0.748,13.2,8.6,7.602,1.115,0.166,0.0643,0.219,0.023,23.718,58.022,2.54E+06,9.74E+03,0.00E+00,0.00E+00
14-21300002,8/21/2018,14,August,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.515,11.5,8.3,6.119,1.13,0.193,0.011,-0.002,0.0035,24.605,13.637,1.18E+07,4.12E+04,0.00E+00,0.00E+00
14-21830001,8/21/2018,14,August,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.66,11.5,7.69,5.259,1.16,0.237,0.6144,-0.012,0.0132,13.922,9.311,1.50E+07,9.16E+03,0.00E+00,0.00E+00
14-21590001,8/21/2018,14,August,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.695,8.23,7.64,8.623,1.186,0.08,0.501,0.039,0.0027,7.995,6.337,2.41E+07,0.00E+00,0.00E+00,0.00E+00
14-21500001,8/21/2018,14,August,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.767,12.1,8.1,4.797,1.094,0.249,0.2267,0.443,0.0926,15.069,13.888,2.71E+07,6.62E+04,0.00E+00,0.00E+00
14-21390001,8/21/2018,14,August,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.005,14.1,8.26,3.289,1.076,0.196,0.4622,0.799,0.0911,9.152,9.337,6.71E+06,2.53E+04,0.00E+00,0.00E+00
14-21300003,8/21/2018,14,August,42.128721,-92.72652,Triboji_Beach,MILFORD,0.558,11.4,8.2,6.267,1.091,0.151,0.0466,-0.031,0.0044,24.894,13.05,1.61E+07,1.15E+04,0.00E+00,0.00E+00
14-21860001,8/21/2018,14,August,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,1.817,11.7,8.9,4.511,1.109,0.172,0.60975,0.046,0.01045,14.4415,12.8175,5.37E+07,1.95E+05,0.00E+00,1.67E+04
14-21690001,8/21/2018,14,August,40.976,-95.02935,Viking_Lake_Beach,STANTON,20,7.54,8.6,12.28,1.1,0.183,0.0193,-0.058,0.0127,8.821,12.696,1.34E+07,1.76E+04,0.00E+00,0.00E+00
15-21280001,8/28/2018,15,August,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.418,15.35,8.8,1.728,1.019,1.142,,6.999,0.0422,17.507,24.371,7.65E+06,0.00E+00,0.00E+00,0.00E+00
15-21350001,8/28/2018,15,August,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.435,24.1,7.6,5.505,1.294,0.02,,4.652,0.0533,9.392,26.311,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21770001,8/28/2018,15,August,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.855,10.9,8.5,4.424,1.076,0.129,,1.738,0.0674,16.74,12.575,1.25E+08,7.27E+04,0.00E+00,0.00E+00
15-21810002,8/28/2018,15,August,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.81,12.9,8.2,6.394,1.095,-0.033,,0.066,0.0119,18.7,16.242,8.93E+06,7.80E+03,0.00E+00,0.00E+00
15-21940001,8/28/2018,15,August,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.842,16.9,7.7,4.414,1.137,-0.146,,4.157,0.0689,9.029,14.879,9.02E+06,2.09E+04,0.00E+00,0.00E+00
15-21170001,8/28/2018,15,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,6.635,13.1,8.45,9.814,1,0.121,,0.44,0.0121,14.76,11.444,9.29E+05,1.08E+04,0.00E+00,0.00E+00
15-21300005,8/28/2018,15,August,43.496339,-95.120872,Crandalls_Beach,MILFORD,8.505,14,8.6,6.709,1.069,0.12,,0.042,0.0081,17.335,16.813,9.07E+06,3.22E+04,0.00E+00,0.00E+00
15-21810001,8/28/2018,15,August,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.468,13.1,8.2,6.502,1.155,-0.146,,0.243,0.0318,17.634,15.318,2.27E+07,1.06E+04,0.00E+00,0.00E+00
15-21300004,8/28/2018,15,August,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.458,13.6,8.2,5.389,1.008,0.115,,0.055,0.0073,22.614,15.185,1.32E+07,2.76E+04,0.00E+00,0.00E+00
15-21070001,8/28/2018,15,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.515,10.8,9.1,5.558,1.243,-0.139,,0.059,0.0094,53.295,15.621,2.17E+07,3.84E+04,0.00E+00,6.34E+04
15-21880001,8/28/2018,15,August,41.09832,-94.38405,Green_Valley_Beach,CRESTON,7.142,10.5,8.22,7.02,1.039,0.171,,0.06,0.0113,9.458,7.657,1.92E+07,2.58E+05,0.00E+00,0.00E+00
15-21300001,8/28/2018,15,August,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.392,13.35,8.3,5.326,1.067,0.042,,0.036,0.0035,23.446,14.733,1.06E+07,5.12E+04,0.00E+00,0.00E+00
15-21040001,8/28/2018,15,August,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.488,8.14,8.4,24.92,1.016,0.049,,0.057,0.0141,11.127,20.045,1.07E+07,3.19E+04,0.00E+00,0.00E+00
15-21890001,8/28/2018,15,August,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.93,10.1,8.2,9.133,1.086,-0.001,,0.091,0.02,25.09,22.7,5.82E+06,0.00E+00,0.00E+00,0.00E+00
15-21910001,8/28/2018,15,August,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.52,8.69,7.79,25.2,1.043,-0.013,,0.085,0.0169,11.387,7.693,7.65E+06,0.00E+00,0.00E+00,0.00E+00
15-21150001,8/28/2018,15,August,41.42801,-94.78194,Lake_Anita_Beach,ANITA,0.473,8.13,7.7,5.673,1.008,0.198,,0.068,0.0122,10.009,6.751,1.74E+07,1.68E+04,0.00E+00,1.80E+04
15-21920001,8/28/2018,15,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.715,10.3,8.6,9.129,1.145,-0.126,,0.052,0.0195,21.284,20.048,6.75E+06,0.00E+00,0.00E+00,0.00E+00
15-21620001,8/28/2018,15,August,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.9,10.3,8.9,9.395,1.141,0.031,,0.045,0.0215,20.874,24.1,7.27E+06,0.00E+00,0.00E+00,0.00E+00
15-21520001,8/28/2018,15,August,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.575,9.27,8.7,4.512,0.959,0.114,,0.026,0.0075,31.345,11.089,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21780001,8/28/2018,15,August,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,1.757,11.8,8.77,4.581,1.055,0.135,,0.053,0.0164,28.526,15.891,1.13E+07,7.13E+04,0.00E+00,0.00E+00
15-21870001,8/28/2018,15,August,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.858,8.83,7.9,9.467,0.975,0.145,,0.075,0.0099,8.082,9.994,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21260001,8/28/2018,15,August,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.61,10.1,8.6,9.471,1.119,-0.155,,0.041,0.0208,20.652,22.202,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21670001,8/28/2018,15,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.825,13.8,8.38,9.23,1.073,-0.115,,0.054,0.0128,9.482,60.68,2.88E+05,0.00E+00,0.00E+00,0.00E+00
15-21420001,8/28/2018,15,August,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.835,14.1,8.5,3.988,1.071,0.137,,0.761,0.0831,13.595,10.257,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21170002,8/28/2018,15,August,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,3.695,12.8,8.5,8.486,1.046,-0.123,,0.06,0.006,13.923,7.907,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21270001,8/28/2018,15,August,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.498,8.38,8.36,6.235,1.021,0.104,,0.034,0.0058,1.96,5.024,4.40E+05,0.00E+00,0.00E+00,0.00E+00
15-21130002,8/28/2018,15,August,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.098,12,8.4,3.221,1.001,0.117,,0.039,0.0244,21.993,64.868,4.26E+06,4.31E+04,0.00E+00,0.00E+00
15-21130001,8/28/2018,15,August,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.115,12.7,8.5,7.087,1.032,0.12,,0.048,0.0237,23.666,63.292,5.07E+06,4.67E+04,0.00E+00,0.00E+00
15-21300002,8/28/2018,15,August,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.825,13.4,8.3,5.657,1.145,0.029,,0.044,0.0029,24.384,14.696,1.25E+07,3.57E+04,0.00E+00,0.00E+00
15-21830001,8/28/2018,15,August,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,2.243,11.6,8.9,6.005,1.147,-0.069,,0.09,0.0174,12.79,10.564,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21590001,8/28/2018,15,August,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.805,10.22,7.53,7.8,1.058,0.093,,0.037,0.0059,6.171,7.135,2.70E+05,0.00E+00,0.00E+00,0.00E+00
15-21500001,8/28/2018,15,August,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.938,11.5,8.4,4.376,0.995,0.164,,0.318,0.1089,14.115,15.536,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21390001,8/28/2018,15,August,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.793,14.1,8.5,3.315,1.036,0.107,,0.828,0.0671,7.929,9.129,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21300003,8/28/2018,15,August,42.128721,-92.72652,Triboji_Beach,MILFORD,0.442,14,8.2,5.404,0.963,-0.003,,0.058,0.0106,24.23,15.639,1.04E+07,2.12E+04,0.00E+00,0.00E+00
15-21860001,8/28/2018,15,August,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,5.918,11.5,8.7,4.506,1.096,0.145,,0.04,0.0115,13.394,11.161,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15-21690001,8/28/2018,15,August,40.976,-95.02935,Viking_Lake_Beach,STANTON,38.96,9.505,8.2,9.255,0.985,0.139,,0.059,0.0096,9.6,8.946,8.05E+06,4.84E+05,0.00E+00,0.00E+00
